 CARG_MEDIA; ;;;;;;;;;;;;;;;;;;ANO;RANKING;;;;;;POSI«√O;;
 ;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;Total Geral;;2025;1∫;2∫;3∫;;;;1;2;3
16/03/2026 12:34;;;;;;;;;;;;;;;;;;;;;;;;;;0,00;0,00;0,00
jan;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;31,53 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;31,53 ;;;2016;;;;;;31,53;0,00;0,00
fev;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;31,21 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;31,21 ;;;2016;;;;;;31,21;0,00;0,00
mar;0,00 ;0,00 ;32,55 ;0,00 ;0,00 ;0,00 ;0,00 ;0,00 ;33,55 ;0,00 ;0,00 ;0,00 ;34,55 ;32,25 ;33,67 ;32,06 ;33,14 ;;;2023;2025;2019;;;;34,55;33,67;33,55
abr;30,92 ;32,93 ;31,94 ;32,86 ;33,61 ;0,00 ;33,68 ;33,88 ;34,58 ;33,57 ;33,11 ;33,83 ;34,65 ;33,79 ;34,35 ;0,00 ;33,58 ;;;2023;2019;2025;;;;34,65;34,58;34,35
mai;29,88 ;33,08 ;32,99 ;32,67 ;32,61 ;32,18 ;33,98 ;34,98 ;34,49 ;34,21 ;34,07 ;34,80 ;34,34 ;34,63 ;34,19 ;0,00 ;33,65 ;;;2018;2022;2024;;;;34,98;34,80;34,63
jun;29,67 ;33,20 ;33,09 ;31,88 ;33,72 ;33,67 ;35,69 ;34,17 ;35,26 ;33,43 ;33,19 ;35,10 ;33,98 ;34,25 ;34,06 ;0,00 ;33,69 ;;;2017;2019;2022;;;;35,69;35,26;35,10
jul;28,98 ;33,81 ;32,89 ;31,66 ;33,67 ;33,83 ;35,32 ;33,87 ;34,91 ;33,08 ;33,81 ;35,84 ;34,22 ;34,51 ;35,10 ;0,00 ;33,89 ;;;2022;2017;2025;;;;35,84;35,32;35,10
ago;29,77 ;33,57 ;33,71 ;32,87 ;34,09 ;33,15 ;34,66 ;32,93 ;35,16 ;32,77 ;34,48 ;34,76 ;33,09 ;34,48 ;34,39 ;0,00 ;33,63 ;;;2019;2022;2017;;;;35,16;34,76;34,66
set;29,06 ;30,65 ;32,76 ;32,17 ;32,24 ;32,96 ;34,62 ;33,97 ;33,79 ;32,67 ;32,81 ;33,62 ;32,93 ;34,52 ;34,26 ;0,00 ;32,89 ;;;2017;2024;2025;;;;34,62;34,52;34,26
out;29,16 ;30,09 ;31,82 ;31,95 ;31,48 ;32,29 ;32,49 ;33,62 ;32,71 ;30,81 ;32,53 ;32,97 ;32,58 ;32,78 ;32,95 ;0,00 ;31,97 ;;;2018;2022;2025;;;;33,62;32,97;32,95
nov;28,76 ;29,12 ;29,72 ;30,37 ;31,28 ;32,18 ;32,17 ;33,00 ;27,44 ;31,08 ;31,52 ;33,33 ;31,26 ;32,51 ;32,92 ;0,00 ;31,51 ;;;2022;2018;2025;;;;33,33;33,00;32,92
dez;26,09 ;28,91 ;30,16 ;29,62 ;31,71 ;28,77 ;32,08 ;31,94 ;0,00 ;31,25 ;0,00 ;31,87 ;29,97 ;0,00 ;31,90 ;0,00 ;30,70 ;;;2017;2018;2025;;;;32,08;31,94;31,90
Total Geral;29,44 ;31,73 ;32,48 ;31,83 ;32,94 ;32,56 ;34,23 ;33,63 ;34,38 ;32,61 ;33,38 ;34,31 ;33,30 ;33,84 ;34,00 ;32,06 ;33,07 ;;;2019;2022;2017;;;;34,38;34,31;34,23
