?? VISÃO 1: MATRIZ DE CONSTRUÇÃO DE VOLUME (TCH) — 100%;;;;;;;;;
O motor da biomassa e sobrevivência da soqueira. Foco em enraizamento, nutrição de base e eliminação de competição.;;;;;;;;;
#;Peso (%);Emoji;Fator;Descrição;Criticidade;;;;
1;21%;??;Irrigação de água;A variável rainha. O volume da cana é 70% água.;?? CRÍTICA;;;;
2;19%;??;Adubo (N e K);O construtor estrutural de colmo e folhas.;?? CRÍTICA;;;;
3;16%;??;Herbicidas;O escudo do estande. Sem eles, o mato rouba água e adubo.;?? ALTA;;;;
4;10%;??;Calcário;Correção da acidez e eliminação do alumínio tóxico.;?? ALTA;;;;
5;10%;??;Gesso;Aprofundamento radicular para suportar a seca.;?? ALTA;;;;
6;10%;??;Fósforo;O arranque essencial de brotação da soqueira.;?? ALTA;;;;
7;6%;??;Inseticidas (Solo);Controle de Sphenophorus e Migdolus.;?? MÉDIA;;;;
8;3%;??;Enleiramento;Desobstrução da linha para brotação.;? BAIXA;;;;
9;3%;??;Nematicidas;Defesa contra asfixia radicular em soqueiras.;? BAIXA;;;;
10;1%;??;Biológicos;Revitalização da rizosfera.;? BAIXA;;;;
11;1%;??;Microgeo;Condicionamento do microbioma do solo.;? BAIXA;;;;
;100%;;TOTAL;;;;;;
;;;;;;;;;
;;;;;;;;;
?? VISÃO 2: MATRIZ DE CONSTRUÇÃO DE QUALIDADE (ATR) — 100%;;;;;;;;;
O motor da sacarose. Foco em paralisar o crescimento vegetativo, transportar açúcar e evitar inversão.;;;;;;;;;
#;Peso (%);Emoji;Fator;Descrição;Criticidade;;;;
1;25%;??;Maturadores;Principal alavanca química para forçar acúmulo de sacarose.;?? CRÍTICA;;;;
2;25%;??;Inseticidas (Colmo);Bloqueio da Broca-da-cana, maior ralo de ATR do canavial.;?? CRÍTICA;;;;
3;10%;??;Pré-maturadores;Preparam a fisiologia para não sofrer choque com maturador.;?? ALTA;;;;
4;10%;??;Micronutrientes;Boro atua como caminhão de transporte do açúcar.;?? ALTA;;;;
5;10%;??;Adubos Foliares;Potássio foliar 40 dias antes da colheita.;?? ALTA;;;;
6;7%;??;Inibidores;Travam florescimento que consome açúcar armazenado.;?? MÉDIA;;;;
7;6%;??;Fungicidas;Bloqueio da Ferrugem e Podridão Vermelha.;?? MÉDIA;;;;
8;4%;??;Bactericidas;Controle de Estria Vermelha e doenças finais.;? BAIXA;;;;
9;3%;??;Pré-seca (Dessecantes);Facilita colheita rápida sem impureza vegetal.;? BAIXA;;;;
;100%;;TOTAL;;;;;;
;;;;;;;;;
;;;;;;;;;
?? VISÃO 3: MATRIZ DE OPERAÇÕES AGRÍCOLAS — 100%;;;;;;;;;
Operações ordenadas por peso de impacto na produtividade (TCH + ATR);;;;;;;;;
;;;;;;;;;
#;Peso;Categoria;Operação;Impacto TCH/ATR;Criticidade;;;;
1;16,00%;?? CTTA;Colheita Mecanizada (Corte);ATR direto - qualidade do corte;?? CRÍTICA;;;;
2;10,00%;?? CTTA;Transbordo;ATR - inversão de sacarose;?? CRÍTICA;;;;
3;8,00%;?? CTTA;Transporte (Treminhão);Ciclo define moagem da usina;?? CRÍTICA;;;;
4;3,00%;?? CTTA;Apoio Frentes (Manutenção);Disponibilidade equipamentos;?? ALTA;;;;
5;3,00%;?? CTTA;Caminhão Pipa (CTTA);Lavagem + combate fogo;?? ALTA;;;;
;40,00%;;? SUBTOTAL CTTA;;;;;;
6;9,00%;?? FORMAÇÃO;Preparo de Solo/Sistematização;Base para plantio;?? CRÍTICA;;;;
7;8,00%;?? FORMAÇÃO;Plantio Mecanizado;Define 5-6 cortes futuros;?? CRÍTICA;;;;
8;3,00%;?? FORMAÇÃO;Tratos Cana Planta;Adubação e proteção inicial;?? ALTA;;;;
;20,00%;;? SUBTOTAL FORMAÇÃO LAVOURAS;;;;;;
9;15,00%;?? IRRIGAÇÃO;Irrigação/Fertirrigação;70% do volume é água;?? CRÍTICA;;;;
;15,00%;;? SUBTOTAL IRRIGAÇÃO;;;;;;
10;5,00%;?? TRATOS SOCA;Adubação de Soqueira;N, P, K - timing crítico;?? CRÍTICA;;;;
11;4,00%;?? TRATOS SOCA;Aplicação de Herbicidas;Proteção contra competição;?? ALTA;;;;
12;2,00%;?? TRATOS SOCA;Corretivos (Calcário/Gesso);Correção e raiz profunda;?? ALTA;;;;
13;2,00%;?? TRATOS SOCA;Controle de Pragas;Broca, Sphenophorus;?? MÉDIA;;;;
;13,00%;;? SUBTOTAL TRATOS CANA SOCA;;;;;;
14;2,00%;?? QUALIDADE;CQ - Colheita;Impurezas e perdas;?? CRÍTICA;;;;
15;2,00%;?? QUALIDADE;CQ - Plantio;Espaçamento e cobertura;?? CRÍTICA;;;;
16;1,00%;?? QUALIDADE;CQ - Insumos;Doses e calibração;?? ALTA;;;;
17;0,50%;?? QUALIDADE;CQ - Irrigação;Lâminas e uniformidade;?? ALTA;;;;
18;0,50%;?? QUALIDADE;CQ - Geral;Análises e indicadores;?? ALTA;;;;
;6,00%;;? SUBTOTAL QUALIDADE;;;;;;
19;1,50%;?? APOIO;Caminhão Pipa Brigada;Combate a incêndios;?? ALTA;;;;
20;1,00%;?? APOIO;Caminhão Oficina;Reparos em campo;?? MÉDIA;;;;
21;1,00%;?? APOIO;Caminhão Comboio;Abastecimento frentes;?? ALTA;;;;
22;0,50%;?? APOIO;Prancha;Transporte equipamentos;? BAIXA;;;;
23;0,50%;?? APOIO;Caminhão Borracheiro;Suporte pneus;? BAIXA;;;;
24;0,50%;?? APOIO;Carros Leves;Supervisão;? BAIXA;;;;
;5,00%;;? SUBTOTAL OUTROS APOIO;;;;;;
25;1,00%;?? ARRENDAMENTO;Arrendamento e Parcerias de Fazendas;Terceirização de áreas;? BAIXA;;;;
;1,00%;;? SUBTOTAL ARRENDAMENTO E PARCERIAS;;;;;;
;;;;;;;;;
;100%;;TOTAL GERAL OPERAÇÕES;;;;;;
;;;;;;;;;
?? RESUMO POR CATEGORIA;;;;;;;;;
Categoria;Peso;Crítico?;Recomendação;;;;;;
?? CTTA;40%;SIM;NÃO REDUZIR;;;;;;
?? Formação Lavouras;20%;SIM;NÃO REDUZIR;;;;;;
?? Irrigação;15%;SIM;NÃO REDUZIR;;;;;;
?? Tratos Cana Soca;13%;PARCIAL;AVALIAR;;;;;;
?? Qualidade;6%;SIM;AVALIAR;;;;;;
?? Outros Apoio;5%;NÃO;PODE REDUZIR;;;;;;
?? Arrendamento;1%;NÃO;EXPANDIR;;;;;;
TOTAL;100%;;;;;;;;
;;;;;;;;;
?? REGRA DE OURO PARA TOMADA DE DECISÃO;;;;;;;;;
• Perda de 1% TCH = ~800 ton cana = ~R$ 96.000 receita perdida;;;;;;;;;
• Perda de 1 kg ATR = ~R$ 1,20/ton x 80.000 ton = ~R$ 96.000 receita perdida;;;;;;;;;
• Economia em operação CRÍTICA de R$ 100.000 pode gerar prejuízo de R$ 500.000+;;;;;;;;;
• CTTA representa 40% das operações - qualquer falha impacta diretamente a moagem;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
? PESOS OFICIAIS APLICADOS - Rebalanceamento aprovado em 31/05/2026;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
